msoa,index-of-transport-accessibility
E02005726,18
E02005727,1
E02005728,5
E02005729,38
E02005730,6
E02005731,23
E02005732,6
E02005733,1
E02005734,14
E02005735,26
E02005736,21
E02005737,24
E02005738,26
E02005739,27
E02005740,31
E02005741,47
E02005742,1
E02005743,1
E02005744,4
E02005745,3
E02005746,14
E02005747,25
E02005748,1
E02005749,24
E02005750,16
E02005751,1
E02005752,1
E02005753,15
E02005754,9
E02005755,3
E02005756,1
E02005757,2
E02005758,3
E02005759,3
E02005760,2
E02005761,1
E02005762,2
E02005763,3
E02005764,11
E02005765,1
E02005766,2
E02005767,8
E02005768,14
E02005769,22
E02005770,12
E02005771,22
E02005772,19
E02005773,20
E02005774,26
E02005775,34
E02005776,9
E02005777,21
E02005778,1
E02005779,38
E02005780,18
E02005781,64
E02005782,12
E02005783,11
E02005784,1
E02005785,4
E02005786,1
E02005787,1
E02005788,2
E02005789,5
E02005790,1
E02005791,1
E02005794,3
E02005795,4
E02005796,12
E02005797,4
E02005798,1
E02005799,9
E02005800,8
E02005801,8
E02005802,9
E02005803,9
E02005804,9
E02005805,8
E02005806,9
E02005807,10
E02005808,11
E02005809,30
E02005810,1
E02005811,15
E02005812,30
E02005813,40
E02005814,12
E02005815,9
E02005816,2
E02005817,4
E02005818,10
E02006803,24
E02006811,36
E02006812,44
E02006813,37
E02006814,36
E02006841,161
E02006842,148
E02006843,84
E02006844,85
E02006852,90
E02006860,93
E02006861,118
E02006868,84
E02006869,60
E02006870,8
E02006871,24
E02006875,231
E02006876,138
E02006881,44
E02006884,20
E02006891,6
E02006892,8
E02006893,50
E02006902,278
E02006909,14
E02006910,47
E02006912,267
E02006913,192
E02006914,256
E02006915,191
E02006916,201
E02006917,292
E02006932,181
E02006933,108
E02006934,152
